"tripdate","time","temperature","wind_speed","wind_degree","wind_dir","weather_code","weather_descriptions","precip","humidity","visibility","pressure","cloudcover","heatindex","dewpoint","windchill","windgust","feelslike","uv_index","totalsnow","avgtemp"
"2015-03-03","900","-2","33","158","SSE","314","Moderate or heavy freezing rain","2.1","95","3","1010","100","-2","-3","-9","47","-9","1","1.6","-1"
"2015-03-04","900","-9","30","317","NW","116","Partly cloudy","0","83","10","1021","61","-9","-11","-18","44","-18","2","0","-9"
"2015-03-05","900","-12","22","319","NW","113","Sunny","0","85","10","1034","6","-12","-14","-21","31","-21","2","0","-12"
"2015-03-06","900","-12","28","199","SSW","116","Partly cloudy","0","83","10","1033","28","-12","-14","-22","38","-22","2","0","-9"
"2015-03-07","900","1","21","228","SW","119","Cloudy","0","92","10","1018","87","1","-1","-5","37","-5","1","0","1"
"2015-03-08","900","0","10","265","W","119","Cloudy","0","92","10","1024","76","0","-1","-3","16","-3","1","0","0"
"2015-03-09","900","2","11","180","S","113","Sunny","0","80","10","1023","0","2","-1","-1","20","-1","2","0","2"
"2015-03-10","900","3","23","209","SSW","176","Patchy rain possible","0.2","80","7","1017","60","3","-1","-2","38","-2","1","0","4"
"2015-03-11","900","2","22","197","SSW","176","Patchy rain possible","0","77","9","1019","80","2","-2","-3","33","-3","1","0","3"
"2015-03-12","900","2","20","204","SSW","176","Patchy rain possible","0.1","76","8","1018","51","2","-2","-2","30","-2","1","0","2"
"2015-03-13","900","1","20","212","SSW","329","Patchy moderate snow","0.2","77","7","1019","56","1","-3","-4","30","-4","1","0.9","2"
"2015-03-14","900","3","17","153","SSE","176","Patchy rain possible","0","78","10","1017","84","3","-1","-1","28","-1","1","0","4"
"2015-03-15","900","3","16","217","SW","176","Patchy rain possible","0","83","10","1017","86","3","1","0","26","0","1","0","4"
"2015-03-16","900","3","21","191","SSW","176","Patchy rain possible","0","76","9","1021","85","3","-1","-2","31","-2","1","0","4"
"2015-03-17","900","4","24","176","S","176","Patchy rain possible","0","74","9","1019","79","4","0","0","40","0","1","0","6"
"2015-03-18","900","5","16","213","SSW","176","Patchy rain possible","0.1","81","8","1016","81","5","2","2","26","2","1","0","6"
"2015-03-19","900","4","25","118","ESE","116","Partly cloudy","0","59","10","1025","45","4","-4","-1","39","-1","2","0","4"
"2015-03-20","900","4","9","229","SW","116","Partly cloudy","0","70","10","1020","43","4","-1","2","15","2","2","0","6"
"2015-03-21","900","6","30","4","N","113","Sunny","0","79","10","1020","10","6","2","1","46","1","3","0","3"
"2015-03-22","900","0","24","74","ENE","116","Partly cloudy","0","55","10","1027","31","0","-8","-5","31","-5","2","0","0"
"2015-03-23","900","-2","30","96","E","230","Blizzard","2.4","93","0","1026","100","-2","-3","-10","42","-10","1","8.8","-2"
"2015-03-24","900","-3","24","107","ESE","122","Overcast","0","66","10","1027","88","-3","-8","-9","35","-9","1","0","-2"
"2015-03-25","900","2","31","263","W","119","Cloudy","0","94","10","1014","85","2","1","-4","48","-4","1","0","4"
"2015-03-26","900","1","18","303","WNW","113","Sunny","0","83","10","1016","4","1","-1","-3","26","-3","2","0","2"
"2015-03-27","900","-4","32","352","N","329","Patchy moderate snow","0","59","7","1023","8","-4","-11","-12","39","-12","1","0.3","-4"
"2015-03-28","900","-3","14","46","NE","113","Sunny","0","50","10","1029","0","-3","-12","-8","18","-8","2","0","-2"
"2015-03-29","900","2","43","196","SSW","113","Sunny","0","47","10","1018","16","2","-8","-5","57","-5","2","0","3"
"2015-03-30","900","6","23","267","W","113","Sunny","0","72","10","1018","18","6","1","2","39","2","3","0","7"
"2015-03-31","900","5","18","333","NNW","113","Sunny","0","82","10","1013","25","5","3","2","25","2","3","0","6"
"2015-04-01","900","9","16","198","SSW","113","Sunny","0","75","10","1018","11","9","5","7","31","7","3","0","11"
"2015-04-02","900","13","32","223","SW","266","Light drizzle","0.1","89","2","1004","100","13","11","10","63","10","3","0","12"
"2015-04-03","900","7","23","347","NNW","263","Patchy light drizzle","0.1","72","5","1014","45","7","2","3","43","3","2","0","5"
"2015-04-04","900","5","23","229","SW","116","Partly cloudy","0","49","10","1025","44","5","-5","0","33","0","2","0","7"
"2015-04-05","900","9","29","228","SW","113","Sunny","0","58","10","1019","24","9","1","5","53","5","3","0","10"
"2015-04-06","900","10","14","206","SSW","116","Partly cloudy","0","76","10","1016","60","10","6","8","27","8","3","0","9"
"2015-04-07","900","5","29","50","NE","122","Overcast","0","91","10","1019","99","5","3","-1","44","-1","1","0","5"
"2015-04-08","900","7","15","29","NNE","353","Light rain shower","0.2","90","10","1014","97","7","5","4","24","4","2","0","7"
"2015-04-09","900","13","20","163","SSE","359","Torrential rain shower","3.4","96","3","1006","62","13","12","11","42","11","3","0","14"
